Species num,species,treatment,trial,primary,pennulae,barbs frayed,bg noise (dB),bg noise (Pa),avg power (Pa),average power (dB),diff sum of squares (Pa),dB corrected (dB),SPL partial (dB),,,How each column is calculated:,,notes
10,ACWO,1,1,0,2,0,60.4,0.020942571,0.079621434,72,0.076817846,71.6886426,30.6886426,,,column L (avg - bkg),,
10,ACWO,1,3,0,2,0,60.3,0.020702843,0.107406359,74.6,0.105392212,74.43557044,33.43557044,,,diff sum of squares ,sqrt(avg power Pa^2 - bg noise Pa^2),
10,ACWO,1,2,0,2,0,60.4,0.020942571,0.109908175,74.8,0.107894465,74.63938343,33.63938343,,,dB corrected ,diff sum of squares converted to dB,
10,ACWO,1,3,0,2,0,60.4,0.020942571,0.135216595,76.6,0.13358494,76.4945501,35.4945501,,,column P: SPL partial (Pa),dB corrected (dB) - 41 (dB),41 dB is the known calibration of the microphone relative to the gain settings used for this experiment
10,ACWO,3,2,1,2,0,59.8,0.019544744,0.149978842,77.5,0.148699886,77.42561279,36.42561279,,,,,
10,ACWO,3,1,0,2,0,59.6,0.019099852,0.155249423,77.8,0.154070046,77.73376432,36.73376432,,,,,
10,ACWO,3,3,1,2,0,59.8,0.019544744,0.168279028,78.5,0.167140163,78.44101654,37.44101654,,,,,
10,ACWO,1,1,0,2,0,60.2,0.02046586,0.174192718,78.8,0.172986276,78.73963306,37.73963306,,,,,
10,ACWO,1,3,1,2,0,60.3,0.020702843,0.182402168,79.2,0.181223462,79.14368854,38.14368854,,,,,
10,ACWO,3,1,1,2,0,60,0.02,0.182402168,79.2,0.181302374,79.14746991,38.14746991,,,,,
10,ACWO,3,3,0,2,0,59.6,0.019099852,0.190998517,79.6,0.190041125,79.55635194,38.55635194,,,,,
10,ACWO,3,1,1,2,0,59.8,0.019544744,0.197710619,79.9,0.196742196,79.8573504,38.8573504,,,,,
10,ACWO,1,1,0,2,0,60.3,0.020702843,0.20942571,80.4,0.208399905,80.35735041,39.35735041,,,,,
10,ACWO,3,1,1,2,0,59.5,0.018881218,0.20942571,80.4,0.208572835,80.36455498,39.36455498,,,,,
10,ACWO,3,1,1,2,0,59.8,0.019544744,0.211850745,80.5,0.210947247,80.46287734,39.46287734,,,,,
10,ACWO,3,2,1,2,0,60,0.02,0.221834963,80.9,0.220931552,80.86455497,39.86455497,,,,,
10,ACWO,2,1,1,2,0,59.9,0.019771062,0.229630724,81.2,0.228778003,81.16768537,40.16768537,,,,,
10,ACWO,1,2,0,2,0,60.2,0.02046586,0.2432372,81.7,0.242374677,81.66914495,40.66914495,,,,,
10,ACWO,1,3,1,2,0,60.3,0.020702843,0.246053754,81.8,0.245181243,81.76914495,40.76914495,,,,,
10,ACWO,3,3,1,2,0,60,0.02,0.246053754,81.8,0.245239576,81.77121123,40.77121123,,,,,
10,ACWO,1,3,0,2,0,60.2,0.02046586,0.248902922,81.9,0.2480601,81.87053837,40.87053837,,,,,
10,ACWO,3,2,1,2,0,59.5,0.018881218,0.248902922,81.9,0.248185745,81.87493677,40.87493677,,,,,
10,ACWO,1,2,1,2,0,60.5,0.021185075,0.25764991,82.2,0.256777469,82.17053837,41.17053837,,,,,
10,ACWO,2,3,1,2,0,59.9,0.019771062,0.263651348,82.4,0.262908993,82.37550891,41.37550891,,,,,
10,ACWO,3,3,1,2,0,59.5,0.018881218,0.269792577,82.6,0.269131073,82.57867693,41.57867693,,,,,
10,ACWO,3,1,1,2,0,59.5,0.018881218,0.272916627,82.7,0.272262713,82.67916344,41.67916344,,,,,
10,ACWO,1,2,1,2,0,60.3,0.020702843,0.279273672,82.9,0.278505253,82.87606792,41.87606792,,,,,
10,ACWO,3,2,0,2,0,59.6,0.019099852,0.285778792,83.1,0.285139814,83.08055733,42.08055733,,,,,
10,ACWO,1,3,1,2,0,60.1,0.020231589,0.299247131,83.5,0.298562436,83.4801034,42.4801034,,,,,
10,ACWO,1,2,1,2,0,60.1,0.020231589,0.30271225,83.6,0.30203541,83.58055733,42.58055733,,,,,
10,ACWO,3,2,1,2,0,59.8,0.019544744,0.30271225,83.6,0.302080634,83.58185776,42.58185776,,,,,
10,ACWO,1,1,1,2,0,60.3,0.020702843,0.306217492,83.7,0.305516848,83.6801034,42.6801034,,,,,
10,ACWO,3,2,1,2,0,59.5,0.018881218,0.306217492,83.7,0.305634834,83.68345711,42.68345711,,,,,
10,ACWO,2,2,1,2,0,59.9,0.019771062,0.309763324,83.8,0.309131723,83.78227157,42.78227157,,,,,
10,ACWO,1,1,1,2,0,60.3,0.020702843,0.320649078,84.1,0.319980036,84.08185775,43.08185775,,,,,
10,ACWO,1,2,1,2,0,60.3,0.020702843,0.320649078,84.1,0.319980036,84.08185775,43.08185775,,,,,
10,ACWO,1,1,1,2,0,60,0.02,0.328117955,84.3,0.327507851,84.28383439,43.28383439,,,,,
10,ACWO,3,3,1,2,0,59.5,0.018881218,0.331917381,84.4,0.331379914,84.38592371,43.38592371,,,,,
10,ACWO,2,3,1,2,0,60.4,0.020942571,0.33964873,84.6,0.339002461,84.5834571,43.5834571,,,,,
